id_insumo,insumo,categoria,fornecedor,regiao_fornecedor,unidade_medida,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,prazo_entrega_dias,indice_reajuste_12m,criticidade_insumo
INS-04-00001,Caprilico caprico triglicerideo,Emoliente,Insumos DermaTech,PR,g,100,941.54,1501.07,2539.11,459.0,39,-0.0633,media
INS-04-00002,Fenoxietanol,Conservante,DermaLink Distribuidora,SC,L,50,157.22,250.93,439.71,704.21,30,0.0574,alta
INS-04-00003,Hidroxietilcelulose,Espessante,Insumos DermaTech,SP,kg,100,246.89,359.05,762.81,268.88,50,0.1025,alta
INS-04-00004,Benzoato de sodio,Conservante,AromaBase Import,MG,kg,100,588.26,753.86,1551.2,21.48,29,0.1476,media
INS-04-00005,Caprilico caprico triglicerideo,Emoliente,Quimnova Trading,PE,g,1000,821.39,1132.06,2277.63,123.73,7,0.1859,media
INS-04-00006,Caprilico caprico triglicerideo,Emoliente,DermaLink Distribuidora,PE,L,100,1355.21,2072.31,4353.86,571.58,10,-0.0356,alta
INS-04-00007,Lauril eter sulfato de sodio,Tensoativo,NaturaPrima Quimicos,BA,mL,25,1157.48,1548.17,2797.5,785.15,59,-0.0183,baixa
INS-04-00008,Cocamidopropil betaina,Tensoativo,CosmoQuimica Brasil,BA,kg,150,898.38,1159.97,2162.23,180.43,38,0.2397,media
INS-04-00009,Acido dehidroacetico,Conservante,CoreLab Ingredients,PE,g,1000,1149.59,1663.39,3233.59,280.08,59,-0.0029,alta
INS-04-00010,Dioxido de titanio,Corante,BioAtivos Sul,SC,g,100,609.01,967.25,2120.03,635.3,60,-0.0574,baixa
INS-04-00011,Oxido de ferro amarelo,Corante,DermaLink Distribuidora,PE,kg,1000,1153.8,2002.56,3703.53,311.09,43,0.184,media
INS-04-00012,Sodium cocoyl isethionate,Tensoativo,GreenLab Mat-primas,PR,mL,1000,1051.01,1648.49,3743.01,619.71,49,0.0552,media
INS-04-00013,Glicerina bidestilada,Umectante,NaturaPrima Quimicos,RJ,mL,50,862.53,1401.89,2432.98,666.58,53,0.2027,media
INS-04-00014,Sodium cocoyl isethionate,Tensoativo,BioAtivos Sul,PR,g,500,707.04,1066.21,1964.5,148.36,10,0.1787,media
INS-04-00015,Fragrancia baunilha,Fragrancia,CosmoQuimica Brasil,MG,kg,100,1245.97,2096.38,3738.49,556.67,12,0.0021,baixa
INS-04-00016,Acido hialuronico,Ativo funcional,GreenLab Mat-primas,SP,kg,25,210.67,355.15,612.46,549.59,20,0.0424,media
INS-04-00017,Fragrancia herbal,Fragrancia,GreenLab Mat-primas,SP,L,500,414.69,621.47,1402.49,355.5,23,0.099,media
INS-04-00018,Butilenoglicol,Umectante,BioAtivos Sul,GO,g,100,218.43,278.14,548.89,52.51,44,0.0536,media
INS-04-00019,Lauril eter sulfato de sodio,Tensoativo,AromaBase Import,PE,kg,150,1229.99,2073.52,3721.93,793.51,18,0.2252,media
INS-04-00020,Mica perolada,Corante,Insumos DermaTech,GO,g,200,1103.83,1813.03,3575.32,266.78,35,-0.0202,baixa
INS-04-00021,Sorbato de potassio,Conservante,GreenLab Mat-primas,PE,L,200,1018.94,1322.89,2814.39,114.37,28,0.2283,baixa
INS-04-00022,Caprilico caprico triglicerideo,Emoliente,NaturaPrima Quimicos,BA,kg,250,1261.1,1600.85,2886.03,230.41,47,-0.0281,alta
INS-04-00023,Glicerina bidestilada,Umectante,CosmoQuimica Brasil,MG,g,250,144.73,231.59,479.92,121.08,26,0.0305,alta
INS-04-00024,Mica perolada,Corante,DermaLink Distribuidora,SC,L,1000,229.6,293.29,665.9,612.7,11,0.0586,media
INS-04-00025,Aloe vera concentrado,Ativo funcional,BioAtivos Sul,RJ,kg,1000,1476.28,2146.91,4244.97,468.42,10,0.2244,alta
INS-04-00026,Glicerina bidestilada,Umectante,Quimnova Trading,MG,g,200,600.43,753.06,1727.09,68.88,12,0.1727,media
INS-04-00027,Dioxido de titanio,Corante,NaturaPrima Quimicos,BA,mL,100,685.32,963.4,1647.95,689.56,52,0.0644,media
