id_insumo,insumo,categoria,fornecedor,regiao_fornecedor,unidade_medida,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,prazo_entrega_dias,indice_reajuste_12m,criticidade_insumo
INS-01-00001,Cocamidopropil betaina,Tensoativo,AromaBase Import,RJ,mL,150,396.96,642.37,1332.08,732.88,7,-0.0702,baixa
INS-01-00002,Niacinamida,Ativo funcional,Essencia Pura Supply,SC,kg,150,1096.75,1755.53,3324.38,374.96,53,0.1859,alta
INS-01-00003,Hidroxietilcelulose,Espessante,AromaBase Import,BA,g,100,385.75,629.45,1052.16,318.98,43,0.0073,baixa
INS-01-00004,Glicerina bidestilada,Umectante,Quimnova Trading,PR,kg,50,863.9,1438.14,2923.69,708.26,7,0.1382,media
INS-01-00005,Lauril eter sulfato de sodio,Tensoativo,Insumos DermaTech,PR,g,500,474.72,744.29,1380.94,311.11,49,0.2291,alta
INS-01-00006,Lauril eter sulfato de sodio,Tensoativo,Essencia Pura Supply,PR,g,150,312.03,449.24,1029.96,529.12,58,0.1735,baixa
INS-01-00007,Niacinamida,Ativo funcional,CoreLab Ingredients,BA,L,500,460.19,623.78,1409.77,720.11,46,0.0847,alta
INS-01-00008,Propilenoglicol,Umectante,AromaBase Import,GO,g,100,430.21,658.52,1174.75,484.35,19,0.2491,baixa
INS-01-00009,Glicerina bidestilada,Umectante,CosmoQuimica Brasil,GO,mL,50,297.03,395.05,820.26,493.9,43,0.2487,alta
INS-01-00010,Fragrancia floral suave,Fragrancia,Insumos DermaTech,SP,g,200,1171.41,1663.5,3003.37,139.79,37,0.1714,alta
INS-01-00011,Decil glucosideo,Tensoativo,Essencia Pura Supply,SP,g,150,297.03,484.53,958.19,641.13,36,-0.0736,media
INS-01-00012,Fragrancia citrica,Fragrancia,CosmoQuimica Brasil,RJ,L,150,1326.77,2286.65,3795.74,404.68,13,0.1377,alta
INS-01-00013,Sorbato de potassio,Conservante,Essencia Pura Supply,SC,mL,500,1449.4,2484.93,5289.63,569.41,47,0.1345,media
INS-01-00014,Glicerina bidestilada,Umectante,BioAtivos Sul,SP,kg,150,170.92,215.45,428.26,487.46,50,0.1283,baixa
INS-01-00015,Cocamidopropil betaina,Tensoativo,CoreLab Ingredients,PE,L,50,810.1,1125.42,2183.08,447.7,55,0.0761,media
INS-01-00016,Niacinamida,Ativo funcional,Insumos DermaTech,RJ,kg,500,583.1,848.73,1871.18,55.77,30,0.1603,baixa
INS-01-00017,Acido hialuronico,Ativo funcional,BioAtivos Sul,RJ,mL,1000,279.06,374.43,720.34,718.58,56,0.2042,alta
INS-01-00018,Cocamidopropil betaina,Tensoativo,Essencia Pura Supply,PE,mL,25,1455.97,2494.34,5472.8,146.38,18,0.2053,baixa
INS-01-00019,Acido dehidroacetico,Conservante,CosmoQuimica Brasil,PE,L,500,456.59,749.74,1438.38,353.79,17,0.0179,baixa
INS-01-00020,Caprilico caprico triglicerideo,Emoliente,CosmoQuimica Brasil,RJ,L,25,909.53,1365.59,3000.07,139.21,9,0.1164,alta
INS-01-00021,Aloe vera concentrado,Ativo funcional,Insumos DermaTech,BA,g,150,902.07,1145.51,1898.55,543.16,18,0.141,media
INS-01-00022,Pantenol,Ativo funcional,Quimnova Trading,RJ,kg,100,1033.8,1447.32,2636.04,619.51,34,0.125,alta
INS-01-00023,Cocamidopropil betaina,Tensoativo,Essencia Pura Supply,PR,g,150,798.36,1050.82,1938.03,67.58,23,-0.0279,alta
INS-01-00024,Fragrancia floral suave,Fragrancia,Essencia Pura Supply,RJ,L,200,1403.09,1826.53,4045.2,225.69,22,0.013,baixa
INS-01-00025,Mica perolada,Corante,AromaBase Import,SC,kg,1000,436.59,743.98,1216.82,524.5,5,0.0301,baixa
INS-01-00026,Fragrancia citrica,Fragrancia,GreenLab Mat-primas,MG,kg,500,876.49,1144.64,2588.64,570.34,58,0.0418,alta
INS-01-00027,Acido dehidroacetico,Conservante,NaturaPrima Quimicos,BA,L,25,517.73,879.88,1898.15,707.45,48,0.0023,baixa
INS-01-00028,Carmin sintetico,Corante,DermaLink Distribuidora,MG,mL,100,1394.58,1908.3,3270.35,658.31,6,-0.0208,media
INS-01-00029,Carbopol,Espessante,AromaBase Import,PR,L,100,1198.07,1562.34,3453.58,705.74,57,0.2231,media
INS-01-00030,Fragrancia citrica,Fragrancia,BioAtivos Sul,SC,g,25,1017.25,1474.23,2646.28,68.09,46,0.0881,alta
