id_insumo,insumo,categoria,fornecedor,regiao_fornecedor,unidade_medida,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,prazo_entrega_dias,indice_reajuste_12m,criticidade_insumo
INS-05-00001,Butilenoglicol,Umectante,DermaLink Distribuidora,PE,g,50,1410.01,2194.52,4422.51,25.07,50,0.1262,alta
INS-05-00002,Goma guar cationica,Espessante,Quimnova Trading,GO,kg,1000,1032.39,1351.13,2327.36,557.8,45,0.1917,baixa
INS-05-00003,Decil glucosideo,Tensoativo,Quimnova Trading,RJ,mL,100,234.43,315.61,618.22,121.65,44,0.146,media
INS-05-00004,Carbopol,Espessante,Insumos DermaTech,GO,kg,200,593.08,857.67,1600.49,163.33,59,0.1759,media
INS-05-00005,Fenoxietanol,Conservante,Essencia Pura Supply,PR,kg,25,1242.19,2069.0,4227.44,603.6,9,0.2028,media
INS-05-00006,Hidroxietilcelulose,Espessante,CosmoQuimica Brasil,RJ,L,25,257.25,415.37,930.6,687.46,38,-0.0754,alta
INS-05-00007,Butilenoglicol,Umectante,BioAtivos Sul,RJ,g,1000,102.29,156.67,255.49,666.51,48,0.1208,baixa
INS-05-00008,Niacinamida,Ativo funcional,Quimnova Trading,BA,mL,250,1442.06,1924.82,3352.51,681.46,10,0.2034,alta
INS-05-00009,Hidroxietilcelulose,Espessante,GreenLab Mat-primas,MG,mL,150,1435.31,2107.76,4150.28,403.65,20,0.1318,baixa
INS-05-00010,Goma xantana,Espessante,CosmoQuimica Brasil,PE,mL,150,293.56,399.76,775.41,205.12,35,0.0166,baixa
INS-05-00011,Dioxido de titanio,Corante,CoreLab Ingredients,PR,mL,500,233.88,348.19,583.25,438.26,9,0.0581,media
INS-05-00012,Fragrancia baunilha,Fragrancia,BioAtivos Sul,GO,g,25,1201.88,1886.65,3939.41,561.29,48,0.0981,alta
INS-05-00013,Acido dehidroacetico,Conservante,Insumos DermaTech,RJ,L,500,201.95,333.44,551.43,722.54,28,0.1126,alta
INS-05-00014,Aloe vera concentrado,Ativo funcional,Essencia Pura Supply,PR,kg,500,448.07,677.7,1287.19,777.1,27,0.0622,media
INS-05-00015,Fragrancia citrica,Fragrancia,NaturaPrima Quimicos,PR,kg,25,90.04,140.83,296.03,763.43,45,0.1675,alta
INS-05-00016,Carbopol,Espessante,Quimnova Trading,PE,mL,1000,1285.08,2089.95,3796.93,613.59,30,-0.0601,baixa
INS-05-00017,Sorbato de potassio,Conservante,AromaBase Import,SC,kg,500,600.75,958.65,2021.01,472.28,19,0.0015,alta
INS-05-00018,Pantenol,Ativo funcional,NaturaPrima Quimicos,RJ,kg,250,834.57,1269.69,2453.81,445.2,32,0.1325,media
INS-05-00019,Fragrancia citrica,Fragrancia,GreenLab Mat-primas,MG,g,500,809.21,1374.3,2858.9,193.78,17,0.0171,media
INS-05-00020,Oleo de jojoba,Emoliente,GreenLab Mat-primas,BA,L,25,832.26,1440.27,2897.67,357.84,32,-0.0038,alta
INS-05-00021,Fragrancia floral suave,Fragrancia,CoreLab Ingredients,SC,kg,200,1017.75,1422.58,2835.98,729.61,49,0.1821,baixa
INS-05-00022,Butilenoglicol,Umectante,CosmoQuimica Brasil,SC,g,1000,460.59,688.2,1184.11,603.73,52,0.1844,baixa
INS-05-00023,Sodium cocoyl isethionate,Tensoativo,Quimnova Trading,SP,kg,150,133.86,197.85,387.47,533.52,40,0.1536,alta
INS-05-00024,Fragrancia floral suave,Fragrancia,Essencia Pura Supply,GO,kg,50,1326.58,1692.94,3676.63,337.72,7,0.1166,alta
INS-05-00025,Fragrancia floral suave,Fragrancia,AromaBase Import,SP,g,25,113.38,190.9,406.52,651.82,35,-0.0162,alta
INS-05-00026,Dioxido de titanio,Corante,Essencia Pura Supply,PR,kg,500,1219.52,1989.06,4396.84,37.42,19,-0.0715,baixa
INS-05-00027,Lauril eter sulfato de sodio,Tensoativo,CoreLab Ingredients,MG,g,1000,740.15,970.28,1806.97,90.6,18,0.045,baixa
INS-05-00028,Esqualano vegetal,Emoliente,CosmoQuimica Brasil,BA,g,25,284.91,407.88,841.31,153.94,14,0.0331,media
INS-05-00029,Carbopol,Espessante,Essencia Pura Supply,GO,g,100,1316.08,2028.65,3591.34,531.16,14,0.1979,alta
INS-05-00030,Niacinamida,Ativo funcional,Insumos DermaTech,SP,mL,25,156.45,239.98,479.67,246.29,30,0.1235,baixa
INS-05-00031,Goma xantana,Espessante,DermaLink Distribuidora,RJ,g,200,1371.13,1992.6,4126.25,526.15,5,0.0948,media
INS-05-00032,Manteiga de karite,Emoliente,Essencia Pura Supply,MG,g,50,137.66,188.9,331.1,639.13,33,0.2498,media
INS-05-00033,Pantenol,Ativo funcional,DermaLink Distribuidora,MG,L,1000,721.64,1093.68,2061.85,450.54,47,0.1418,alta
INS-05-00034,Fragrancia baunilha,Fragrancia,NaturaPrima Quimicos,SP,kg,1000,521.94,843.71,1435.5,247.21,30,0.153,media
INS-05-00035,Benzoato de sodio,Conservante,DermaLink Distribuidora,PR,kg,250,221.16,318.11,619.46,663.62,45,0.0233,alta
INS-05-00036,Fragrancia floral suave,Fragrancia,CoreLab Ingredients,SC,g,1000,159.74,256.44,473.76,270.21,38,0.1412,baixa
INS-05-00037,Propilenoglicol,Umectante,CoreLab Ingredients,PE,mL,500,1121.81,1579.95,3049.88,430.66,56,0.2366,baixa
INS-05-00038,Glicerina bidestilada,Umectante,Insumos DermaTech,BA,mL,50,1430.56,1974.36,3326.18,653.42,19,0.068,baixa
INS-05-00039,Cocamidopropil betaina,Tensoativo,NaturaPrima Quimicos,SP,kg,50,495.46,619.93,1174.4,527.1,6,-0.0025,media
INS-05-00040,Carbopol,Espessante,AromaBase Import,BA,mL,50,1378.4,1724.16,3391.78,280.86,28,-0.0044,media
INS-05-00041,Benzoato de sodio,Conservante,CosmoQuimica Brasil,BA,kg,500,232.46,393.8,837.06,427.11,59,0.1216,baixa
INS-05-00042,Carmin sintetico,Corante,CosmoQuimica Brasil,SC,L,200,1361.4,1842.68,3123.63,352.65,51,0.1631,baixa
INS-05-00043,Cocamidopropil betaina,Tensoativo,NaturaPrima Quimicos,GO,g,100,263.02,360.82,643.17,548.2,53,0.0327,media
INS-05-00044,Fragrancia herbal,Fragrancia,DermaLink Distribuidora,RJ,mL,500,946.39,1462.55,2454.4,480.94,20,0.038,baixa
INS-05-00045,Acido hialuronico,Ativo funcional,Quimnova Trading,RJ,g,250,393.27,594.7,1005.66,350.08,32,0.2063,alta
INS-05-00046,Esqualano vegetal,Emoliente,AromaBase Import,MG,kg,500,114.94,174.38,369.99,124.41,13,0.072,media
INS-05-00047,Caprilico caprico triglicerideo,Emoliente,AromaBase Import,SC,kg,250,698.9,924.91,1793.05,389.96,22,-0.0573,media
INS-05-00048,Sorbitol,Umectante,Insumos DermaTech,PE,g,25,1276.58,1805.73,3456.27,165.56,10,0.0451,media
INS-05-00049,Oleo de jojoba,Emoliente,CoreLab Ingredients,SC,mL,50,546.42,925.23,2000.75,443.86,29,0.1239,media
INS-05-00050,Mica perolada,Corante,NaturaPrima Quimicos,PR,g,100,1090.74,1578.39,2772.15,203.26,31,0.1848,alta
INS-05-00051,Mica perolada,Corante,Insumos DermaTech,GO,kg,100,1393.51,2131.89,3938.44,355.34,17,0.1453,alta
INS-05-00052,Carbopol,Espessante,BioAtivos Sul,BA,L,1000,1099.23,1464.82,3273.04,740.76,57,-0.0474,baixa
INS-05-00053,Sorbitol,Umectante,BioAtivos Sul,MG,g,200,283.43,466.47,845.14,542.61,31,0.1806,alta
INS-05-00054,Pantenol,Ativo funcional,DermaLink Distribuidora,BA,kg,25,249.11,383.29,787.95,356.15,6,-0.0303,alta
INS-05-00055,Caprilico caprico triglicerideo,Emoliente,Insumos DermaTech,BA,kg,25,1392.75,2290.42,5022.93,276.5,42,-0.0797,baixa
INS-05-00056,Acido dehidroacetico,Conservante,NaturaPrima Quimicos,PE,g,150,905.05,1385.21,2272.1,261.54,33,0.1539,baixa
INS-05-00057,Fragrancia baunilha,Fragrancia,DermaLink Distribuidora,MG,L,1000,833.4,1231.21,2552.37,773.07,26,0.1414,alta
INS-05-00058,Goma guar cationica,Espessante,GreenLab Mat-primas,SC,mL,200,901.08,1543.11,3040.8,255.98,56,0.2297,baixa
INS-05-00059,Fragrancia floral suave,Fragrancia,NaturaPrima Quimicos,SC,L,150,1131.08,1592.75,3503.96,144.88,15,0.1893,media
INS-05-00060,Fenoxietanol,Conservante,Quimnova Trading,PR,L,500,464.69,595.62,1063.76,271.23,22,0.1574,alta
INS-05-00061,Fragrancia herbal,Fragrancia,Insumos DermaTech,RJ,kg,100,262.13,445.33,887.55,298.93,21,0.0617,alta
INS-05-00062,Mica perolada,Corante,NaturaPrima Quimicos,RJ,L,200,854.72,1262.41,2302.44,512.87,21,0.0593,media
INS-05-00063,Aloe vera concentrado,Ativo funcional,AromaBase Import,MG,L,500,1229.14,2121.38,3622.48,412.11,17,0.1901,baixa
INS-05-00064,Carbopol,Espessante,GreenLab Mat-primas,MG,mL,500,130.18,165.08,369.73,63.55,18,-0.0118,alta
INS-05-00065,Decil glucosideo,Tensoativo,Essencia Pura Supply,BA,g,250,1494.73,1901.66,3930.83,636.28,59,-0.016,baixa
INS-05-00066,Propilenoglicol,Umectante,AromaBase Import,SC,L,150,732.3,1237.81,2301.36,556.64,54,0.1978,baixa
INS-05-00067,Mica perolada,Corante,CosmoQuimica Brasil,SP,L,150,607.85,841.36,1669.26,189.23,39,0.2206,baixa
INS-05-00068,Caprilico caprico triglicerideo,Emoliente,Insumos DermaTech,SP,g,1000,1066.47,1851.45,3119.53,804.39,56,0.2399,media
INS-05-00069,Sodium cocoyl isethionate,Tensoativo,GreenLab Mat-primas,PR,kg,250,617.26,947.89,1667.46,289.66,39,0.1568,baixa
INS-05-00070,Fragrancia citrica,Fragrancia,CoreLab Ingredients,SC,kg,25,1131.77,1817.92,3553.16,579.1,46,0.0637,baixa
INS-05-00071,Mica perolada,Corante,Essencia Pura Supply,SP,mL,25,183.38,305.8,626.04,70.38,60,-0.0114,baixa
INS-05-00072,Oleo de jojoba,Emoliente,GreenLab Mat-primas,PR,g,1000,1229.08,1661.61,3750.15,315.23,9,-0.0202,baixa
INS-05-00073,Butilenoglicol,Umectante,GreenLab Mat-primas,RJ,L,250,480.67,733.14,1508.96,313.53,15,-0.0151,media
INS-05-00074,Fragrancia floral suave,Fragrancia,GreenLab Mat-primas,PR,g,1000,804.19,1405.2,2788.59,240.57,53,0.0448,media
INS-05-00075,Fragrancia baunilha,Fragrancia,Insumos DermaTech,RJ,L,1000,1100.22,1850.77,3460.55,576.23,22,0.1525,media
INS-05-00076,Acido dehidroacetico,Conservante,Quimnova Trading,PE,L,100,337.12,587.84,1224.69,361.24,47,0.2347,alta
INS-05-00077,Lauril eter sulfato de sodio,Tensoativo,BioAtivos Sul,BA,kg,150,211.14,347.81,599.91,190.05,6,0.2343,alta
INS-05-00078,Niacinamida,Ativo funcional,BioAtivos Sul,SP,g,200,1259.94,1827.01,3153.49,101.75,12,0.1295,media
INS-05-00079,Sodium cocoyl isethionate,Tensoativo,Quimnova Trading,BA,mL,50,133.81,200.19,448.56,393.07,13,-0.0028,baixa
INS-05-00080,Carmin sintetico,Corante,CoreLab Ingredients,PE,L,1000,464.96,699.26,1334.45,247.28,6,0.0228,alta
INS-05-00081,Benzoato de sodio,Conservante,BioAtivos Sul,MG,g,50,349.33,499.25,1087.14,67.78,7,0.1956,baixa
INS-05-00082,Acido dehidroacetico,Conservante,NaturaPrima Quimicos,PE,mL,50,1305.21,1661.31,2869.62,14.36,21,0.2169,alta
INS-05-00083,Fragrancia herbal,Fragrancia,Essencia Pura Supply,SC,mL,25,876.97,1491.15,2467.82,713.14,11,0.0512,media
INS-05-00084,Fragrancia baunilha,Fragrancia,Essencia Pura Supply,SC,L,50,1218.53,1554.45,3571.79,45.62,27,-0.0761,alta
INS-05-00085,Fragrancia citrica,Fragrancia,AromaBase Import,SP,mL,25,245.22,419.58,701.3,721.27,46,0.2135,alta
INS-05-00086,Goma xantana,Espessante,AromaBase Import,GO,mL,1000,1206.7,1765.91,3773.18,456.05,32,0.2263,media
INS-05-00087,Sorbato de potassio,Conservante,CoreLab Ingredients,GO,L,150,123.43,174.9,338.69,51.62,5,-0.0259,media
