id_insumo,insumo,categoria,fornecedor,regiao_fornecedor,unidade_medida,lote_minimo_compra,consumo_medio_4m,consumo_medio_6m,consumo_medio_12m,custo_aquisicao_unitario,prazo_entrega_dias,indice_reajuste_12m,criticidade_insumo
INS-03-00001,Lauril eter sulfato de sodio,Tensoativo,GreenLab Mat-primas,SP,L,150,355.54,481.75,899.07,452.42,47,0.0465,alta
INS-03-00002,Benzoato de sodio,Conservante,DermaLink Distribuidora,RJ,kg,25,642.07,903.18,2055.04,528.97,54,0.0768,media
INS-03-00003,Decil glucosideo,Tensoativo,AromaBase Import,GO,g,150,1412.42,2391.5,5324.01,240.16,8,0.1263,baixa
INS-03-00004,Hidroxietilcelulose,Espessante,CosmoQuimica Brasil,SP,L,25,535.04,866.54,1932.42,498.91,9,-0.0632,media
INS-03-00005,Oxido de ferro amarelo,Corante,GreenLab Mat-primas,SC,mL,100,542.09,800.52,1592.64,586.69,47,0.2273,media
INS-03-00006,Sorbato de potassio,Conservante,CosmoQuimica Brasil,PR,mL,150,469.51,746.49,1307.91,266.43,37,-0.0023,media
INS-03-00007,Fenoxietanol,Conservante,CoreLab Ingredients,SP,kg,100,597.88,766.99,1306.76,439.58,5,0.0255,baixa
INS-03-00008,Fragrancia floral suave,Fragrancia,Essencia Pura Supply,RJ,kg,1000,744.45,1158.34,2190.74,639.19,43,0.078,baixa
INS-03-00009,Pantenol,Ativo funcional,AromaBase Import,PE,L,150,585.53,1014.33,2010.51,196.1,6,0.2065,baixa
INS-03-00010,Manteiga de karite,Emoliente,Essencia Pura Supply,PE,mL,100,304.26,383.86,640.28,227.99,60,0.0137,alta
INS-03-00011,Manteiga de karite,Emoliente,GreenLab Mat-primas,BA,mL,100,1360.38,1942.84,3126.65,471.2,50,-0.0429,media
INS-03-00012,Goma guar cationica,Espessante,Essencia Pura Supply,SC,kg,1000,1195.17,2000.31,4003.3,68.32,12,0.1876,alta
INS-03-00013,Sorbato de potassio,Conservante,NaturaPrima Quimicos,BA,kg,50,304.37,473.56,914.5,35.86,18,0.1944,media
